,mwindex,plot,pos,word_count,stopw_count,unique_count,plotlemma,unique_words
0,0,animals were harmed,"[('animal', 'NNS'), ('be', 'VBD'), ('harm', 'VBN')]",3,1,2,animal be harm,animal harm
1,1,animals die,"[('animal', 'NNS'), ('die', 'VBP')]",2,0,2,animal die,animal die
2,4,a child dies,"[('a', 'DT'), ('child', 'NN'), ('die', 'VBZ')]",3,1,2,a child die,child die
3,5,ai takes over,"[('be', 'PRP'), ('take', 'VBZ'), ('over', 'RB')]",3,1,2,be take over,take
5,8,bad boy falls in love,"[('bad', 'JJ'), ('boy', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",5,1,4,bad boy fall in love,bad boy fall love
6,9,best friends fall in love,"[('good', 'JJS'), ('friend', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",5,1,4,good friend fall in love,good friend fall love
7,10,bullies get what they deserve,"[('bully', 'NNS'), ('get', 'VBP'), ('what', 'WP'), ('they', 'PRP'), ('deserve', 'VBP')]",5,2,3,bully get what they deserve,bully get deserve
8,11,bad guys win,"[('bad', 'JJ'), ('guy', 'NNS'), ('win', 'VBP')]",3,0,3,bad guy win,bad guy win
9,12,bad guy saves girl,"[('bad', 'JJ'), ('guy', 'NN'), ('save', 'VBZ'), ('girl', 'NN')]",4,0,4,bad guy save girl,bad guy save girl
10,13,boy saves girl,"[('boy', 'NN'), ('save', 'VBZ'), ('girl', 'NN')]",3,0,3,boy save girl,boy save girl
11,14,black guy dies first,"[('black', 'JJ'), ('guy', 'NN'), ('die', 'VBZ'), ('first', 'RB')]",4,0,4,black guy die first,black guy die first
12,15,boy saves girl from abuse,"[('boy', 'NN'), ('save', 'VBZ'), ('girl', 'NN'), ('from', 'IN'), ('abuse', 'NN')]",5,1,4,boy save girl from abuse,boy save girl abuse
13,16,characters turn into animals,"[('character', 'NNS'), ('turn', 'VBP'), ('into', 'IN'), ('animal', 'NNS')]",4,1,3,character turn into animal,character turn animal
14,19,childhood friends fall in love,"[('childhood', 'NN'), ('friend', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",5,1,4,childhood friend fall in love,childhood friend fall love
15,20,characters come back to life,"[('character', 'NNS'), ('come', 'VBP'), ('back', 'RB'), ('to', 'IN'), ('life', 'NN')]",5,1,4,character come back to life,character come back life
16,21,characters break the fourth wall,"[('character', 'NNS'), ('break', 'VBP'), ('the', 'DT'), ('fourth', 'JJ'), ('wall', 'NN')]",5,1,4,character break the fourth wall,character break fourth wall
17,22,characters sacrifice themselves,"[('character', 'NNS'), ('sacrifice', 'VBP'), ('themselves', 'PRP')]",3,1,2,character sacrifice themselves,character sacrifice
